date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,aerosol_optical_depth,dust,uv_index,us_aqi,european_aqi
2025-06-09,325.6125,52.31666666666666,213.75,4.8500000000000005,3.5875,103.29166666666667,0.345,553.1666666666666,2.6354166666666665,170.70833333333334,158.625
2025-06-10,238.58333333333334,39.3125,222.33333333333334,5.4875,3.3791666666666664,98.83333333333333,0.2866666666666667,404.5416666666667,2.779166666666667,169.375,157.625
2025-06-11,213.49166666666667,36.00416666666667,241.625,4.954166666666667,3.358333333333333,104.41666666666667,0.3104166666666667,361.0833333333333,2.7270833333333333,130.66666666666666,126.54166666666667
2025-06-12,122.17083333333333,25.329166666666666,281.625,8.245833333333334,3.641666666666667,101.79166666666667,0.3516666666666666,194.95833333333334,2.5770833333333334,104.125,104.375
2025-06-13,268.3,66.78750000000001,382.5416666666667,5.470833333333334,8.554166666666665,131.54166666666666,0.94,399.75,1.6229166666666668,122.0,112.83333333333333
2025-06-14,122.97500000000001,54.791666666666664,357.375,6.7,9.329166666666667,126.875,0.88,139.0,1.84375,154.5,122.83333333333333
2025-06-15,144.34583333333333,42.025,354.5,7.204166666666667,6.308333333333334,109.95833333333333,0.8391666666666667,210.625,1.9041666666666668,123.5,88.0
2025-06-16,164.34583333333333,44.550000000000004,307.1666666666667,4.908333333333333,5.245833333333334,122.20833333333333,0.68375,247.08333333333334,1.9458333333333335,121.0,105.45833333333333
2025-06-17,111.60833333333333,39.112500000000004,354.5833333333333,6.6499999999999995,4.870833333333334,107.95833333333333,0.715,145.95833333333334,1.6354166666666667,126.08333333333333,103.375
2025-06-18,16.829166666666666,9.920833333333333,276.9583333333333,6.391666666666667,5.675,79.125,0.3070833333333333,16.583333333333332,2.1041666666666665,70.625,50.458333333333336
2025-06-19,26.141666666666666,15.725,306.7916666666667,10.195833333333333,4.741666666666666,83.70833333333333,0.5325,18.083333333333332,1.04375,50.708333333333336,36.458333333333336
2025-06-20,83.32916666666667,29.90833333333333,266.4166666666667,10.0625,4.404166666666667,75.04166666666667,0.6283333333333333,104.79166666666667,1.1083333333333332,73.95833333333333,56.083333333333336
2025-06-21,61.51666666666667,20.941666666666666,297.25,7.5375000000000005,3.5875,89.125,0.455,82.75,2.089583333333333,79.70833333333333,69.58333333333333
2025-06-22,63.9,20.8625,287.625,8.579166666666667,4.133333333333334,88.95833333333333,0.45916666666666667,91.91666666666667,2.3541666666666665,71.91666666666667,65.91666666666667
2025-06-23,78.125,29.479166666666668,317.0,7.433333333333334,3.1166666666666667,93.58333333333333,0.8345833333333333,104.58333333333333,1.6500000000000001,70.04166666666667,63.166666666666664
2025-06-24,97.61666666666667,35.583333333333336,337.7916666666667,8.208333333333334,3.8125,89.5,0.9916666666666667,128.33333333333334,1.945833333333333,94.79166666666667,73.45833333333333
2025-06-25,83.5,37.96666666666667,302.625,8.495833333333334,4.245833333333334,98.83333333333333,0.8858333333333333,73.0,1.2979166666666666,111.33333333333333,81.66666666666667
2025-06-26,48.6875,31.704166666666666,329.0416666666667,7.470833333333334,4.470833333333333,104.95833333333333,0.89,30.583333333333332,1.3729166666666668,101.0,69.5
2025-06-27,46.07083333333333,21.2375,310.25,9.0875,3.9875000000000003,91.41666666666667,0.4995833333333333,66.875,2.0625,79.25,57.75
2025-06-28,35.604166666666664,18.945833333333333,260.2916666666667,9.875,4.545833333333333,82.16666666666667,0.48500000000000004,29.833333333333332,1.9270833333333333,65.29166666666667,47.041666666666664
2025-06-29,92.21249999999999,21.8875,250.33333333333334,7.845833333333334,4.270833333333333,83.875,0.5495833333333333,137.54166666666666,1.9937500000000001,72.875,74.04166666666667
2025-06-30,136.00416666666666,23.537499999999998,255.41666666666666,6.508333333333333,3.3958333333333335,76.70833333333333,0.6208333333333333,221.08333333333334,2.247916666666667,70.54166666666667,77.20833333333333
